id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
1656,14,BIOT,20414,1450421,Plant Biotechnology,51,LEC,MAW,45,101234,Kareem Aly Fahmy Mosa,06/05/2024,General,Year4,08:30AM - 10:30AM
1690,4,NUCL,22465,407300,Elements of NE and Rad.Science,11,LEC,UOS,5,201976,Ahmad  Ababneh,06/05/2024,General,Year3,08:30AM - 10:30AM
1691,4,MECH,22322,408330,Machine Elements & Design,11,LEC,UOS,14,101553,Hussien Ali Hussien,06/05/2024,General,Year3,08:30AM - 10:30AM
1696,11,PHPR,23704,1102360,Integ. Pharma. & Therap. IIA,72,LEC,MDM,29,101911,Ahmed Yusuf Ahmed Alhusban,06/05/2024,General,Year3,08:30AM - 10:30AM
1703,5,MLT,21946,501365,Blood Banking,72,LEC,MDM,34,101644,Raed Omar Abu Odeh,06/05/2024,General,Year3,08:30AM - 10:30AM
1705,5,MLT,21951,501365,Blood Banking,71L,LAB,MDM,28,10216,Omar Mahmoud Chebbo,06/05/2024,General,Year3,08:30AM - 10:30AM
1741,14,MATH,20251,1440241,Ordinary Differential Equ. I,11,LEC,UOS,32,101504,Abdelaziz  Soufyane,06/05/2024,General,Year2,11:00AM - 13:00PM
1760,4,EECE,21091,402346,Telecommunication Systems 1,51,LEC,MAW,26,101952,Mahmoud A. M. Albreem,06/05/2024,General,Year3,11:00AM - 13:00PM
1776,8,MASS,22264,806365,Animation (1),11,LEB,UOS,22,101477,Mohammed Fathi A'Aluan Yousaf,06/05/2024,General,Year3,11:00AM - 13:00PM
1793,3,ACCT,20863,301327,Taxation and Zakat,11,LEC,UOS,45,101964,Atia  Hussain,06/05/2024,General,Year3,11:00AM - 13:00PM
1804,2,INRE,20418,205499,Independent Study,11,LEC,UOS,36,101702,Shaojin  Chai,06/05/2024,General,Year4,13:30PM - 15:30PM
1874,6,LAW,24055,605112,Contract Law,11,LEC,UOS,43,101059,M  Mahmoud I. M. Fayyad,06/05/2024,General,Year1,16:00PM - 18:00PM
1882,4,MECH,23486,408101,Intro.to Mech. Engineering,11,LEB,UOS,3,101677,Tahar  Laoui,06/05/2024,General,Year1,16:00PM - 18:00PM
1969,4,MECH,22466,408150,Engineering Graphics Design,11,LEC,UOS,24,101488,Khalil Abdelrazek Khalil Abdelmawgoud,06/05/2024,General,Year1,08:30AM - 10:30AM
1976,11,PHPR,23703,1102360,Integ. Pharma. & Therap. IIA,71,LEC,MDM,79,101911,Ahmed Yusuf Ahmed Alhusban,06/05/2024,General,Year3,08:30AM - 10:30AM
2013,14,MATH,20227,1440261,Diff. Equs for Engs,53,LEC,MAW,49,101110,Mohammad Ghalib AL Akhrass,06/05/2024,General,Year2,11:00AM - 13:00PM
2031,8,MASS,22157,806261,Intro. to Digital Media Design,11,LEB,UOS,35,101477,Mohammed Fathi A'Aluan Yousaf,06/05/2024,General,Year2,11:00AM - 13:00PM
2038,4,NUCL,22426,407302,Reactor Thermal Hydraulics,11,LEC,UOS,12,101577,Bassam Abdullah Ayed Khuwaileh,06/05/2024,General,Year3,11:00AM - 13:00PM
2049,15,BUIS,20597,1503130,Introduction to BIS,02U,LEC,MAM,41,101975,Mohamed Elhoseny Ibrahim Elkholy,06/05/2024,General,Year1,13:30PM - 15:30PM
2050,2,ENGL,20648,202212,Research Paper Writing,11,LEC,UOS,16,101905,Rania Mostafa Mohammed Ezz Alsabbagh,06/05/2024,General,Year2,13:30PM - 15:30PM
2051,3,BUSP,20688,302461,Research Methods,12,LEC,UOS,32,101997,Matloub  Hussain,06/05/2024,General,Year4,13:30PM - 15:30PM
2073,3,BUSP,23857,302461,Research Methods,52,LEC,MAW,50,102131,Ramakrishnan  Ramanathan,06/05/2024,General,Year4,13:30PM - 15:30PM
2076,4,EECE,21094,402446,Cellular Telephony,12,LEC,UOS,44,101952,Mahmoud A. M. Albreem,06/05/2024,General,Year4,13:30PM - 15:30PM
2099,1,JURF,23395,103224,Islamic Criminal Law,51,LEC,MAW,22,10471,Mohamed Suliman Suliman,06/05/2024,General,Year2,13:30PM - 15:30PM
2111,15,COSC,21932,1501352,Operating Systems,12,LEC,UOS,40,101511,Sohail  Abbas,06/05/2024,General,Year3,13:30PM - 15:30PM
2131,2,ENGL,20663,202231,Syntax 1,11,LEC,UOS,13,101153,Samer Omar Jarbou,06/05/2024,General,Year2,16:00PM - 18:00PM
2177,15,COSC,21970,1501372,Formal Lang.and Automa. theory,1,LEC,MAM,44,10918,Ahmed  Khedr,06/05/2024,General,Year3,16:00PM - 18:00PM
2191,1,FREL,20851,104317,Islamic Call & its Methods,1,LEC,MAM,9,102001,Reda Ibrahim Ibrahim Alsayed Abdelgalil,06/05/2024,General,Year3,16:00PM - 18:00PM
2194,6,PBLW,20949,602347,Public Finance,51,LEC,MAW,13,101981,Mona Mahmoud Idelbi,06/05/2024,General,Year3,16:00PM - 18:00PM
2195,14,APHY,20743,1430106,Remedial Physics,52Z,LEC,UOS,55,102160,Badreyya Ali Mohammed Salem Alshehhi,06/05/2024,General,Year1,16:00PM - 18:00PM
